NAME,B01003_001E,B19013_001E,B25046_001E,B08126_001E,B08301_001E,state,county,tract
Census Tract 1011.10; Los Angeles County; California,4014,68972,2681,2043,2043,06,037,101110
Census Tract 1011.22; Los Angeles County; California,4164,118859,3152,2014,2014,06,037,101122
Census Tract 1012.20; Los Angeles County; California,3481,65139,2599,1665,1665,06,037,101220
Census Tract 1012.21; Los Angeles County; California,3756,53348,2365,1762,1762,06,037,101221
Census Tract 1012.22; Los Angeles County; California,2808,36779,,1105,1105,06,037,101222
Census Tract 1013; Los Angeles County; California,4071,121490,3223,1871,1871,06,037,101300
Census Tract 1014; Los Angeles County; California,3490,85945,2429,1615,1615,06,037,101400
Census Tract 1021.03; Los Angeles County; California,1834,65250,1170,737,737,06,037,102103
Census Tract 1021.04; Los Angeles County; California,4033,106250,2792,1715,1715,06,037,102104
Census Tract 1021.05; Los Angeles County; California,1610,92917,1135,747,747,06,037,102105
Census Tract 1021.07; Los Angeles County; California,3577,97778,2639,1546,1546,06,037,102107
Census Tract 1031.01; Los Angeles County; California,2726,125694,2153,1482,1482,06,037,103101
Census Tract 1031.02; Los Angeles County; California,4550,84750,3156,2096,2096,06,037,103102
Census Tract 1032.01; Los Angeles County; California,4291,84281,3186,2004,2004,06,037,103201
Census Tract 1032.02; Los Angeles County; California,2010,112491,,850,850,06,037,103202
Census Tract 1033; Los Angeles County; California,3816,133333,3102,1595,1595,06,037,103300
Census Tract 1034.01; Los Angeles County; California,2391,96884,1991,1144,1144,06,037,103401
Census Tract 1034.02; Los Angeles County; California,3829,113393,3184,1956,1956,06,037,103402
Census Tract 1041.03; Los Angeles County; California,4281,107614,2424,1853,1853,06,037,104103
Census Tract 1041.05; Los Angeles County; California,6195,58897,3060,2329,2329,06,037,104105
Census Tract 1041.08; Los Angeles County; California,4962,62639,2613,2101,2101,06,037,104108
Census Tract 1041.24; Los Angeles County; California,4006,76071,2854,1696,1696,06,037,104124
Census Tract 1042.01; Los Angeles County; California,4636,93726,2154,2044,2044,06,037,104201
Census Tract 1042.03; Los Angeles County; California,5182,65000,2882,2181,2181,06,037,104203
Census Tract 1042.04; Los Angeles County; California,3691,75179,1996,1423,1423,06,037,104204
Census Tract 1043.10; Los Angeles County; California,4392,87463,3030,2153,2153,06,037,104310
Census Tract 1043.21; Los Angeles County; California,2890,36649,1660,1117,1117,06,037,104321
Census Tract 1043.22; Los Angeles County; California,1787,72188,1084,862,862,06,037,104322
Census Tract 1044.01; Los Angeles County; California,2977,69306,1425,1244,1244,06,037,104401
Census Tract 1044.03; Los Angeles County; California,2352,89653,1469,1191,1191,06,037,104403
Census Tract 1044.04; Los Angeles County; California,3323,80556,1697,1446,1446,06,037,104404
Census Tract 1045; Los Angeles County; California,3301,71058,1620,1424,1424,06,037,104500
Census Tract 1046.10; Los Angeles County; California,3122,84107,1484,1364,1364,06,037,104610
Census Tract 1046.20; Los Angeles County; California,3528,81316,2028,1637,1637,06,037,104620
Census Tract 1047.01; Los Angeles County; California,3891,49844,1687,1462,1462,06,037,104701
Census Tract 1047.03; Los Angeles County; California,2298,48229,1167,925,925,06,037,104703
Census Tract 1047.04; Los Angeles County; California,4567,56512,2554,1829,1829,06,037,104704
